2025-11-25 20:14:25, MOVE, v:1, k:poo@contato, mode:DOWN
2025-11-25 20:14:29, MOVE, v:1, k:poo@agenda, mode:DOWN
2025-11-25 20:14:29, MOVE, v:1, k:poo@agiota, mode:DOWN
2025-11-25 20:14:30, MOVE, v:1, k:poo@porquinho, mode:DOWN
2025-11-25 20:14:31, MOVE, v:1, k:poo@tarifas, mode:DOWN
2025-11-25 20:14:35, MOVE, v:1, k:poo@contato, mode:PICK
2025-11-25 20:14:48, MOVE, v:1, k:poo@contato, mode:BACK
2025-11-25 20:14:50, MOVE, v:1, k:poo@contato, mode:PICK
2025-11-25 20:15:15, MOVE, v:1, k:poo@contato, mode:BACK
